"PPG_Item_No","PPG_Cat","PPG_Item","MFG","Market","Retailer","Model_flag","PPG_Brand"
"ITEM1009DDPROPLANBRIGHTMINDS","Dry Dog","DD PRO PLAN BRIGHT MINDS 04-5LB","NPP","ROM","CVS Total Corp WO HI",1,"Pro Plan"
"ITEM1014DDBENEFULGRFR","Dry Dog","DD BENEFUL PREMIUM 03LB","NPP","Retailer","CVS Total Corp WO HI",1,"Beneful"
"ITEM1014DDBENEFULGRFR","Dry Dog","DD BENEFUL PREMIUM 03LB","NPP","ROM","CVS Total Corp WO HI",1,"Beneful"
"ITEM1018DDBEYONDGRFR","Dry Dog","DD BEYOND GR FR 23LB","NPP","ROM","CVS Total Corp WO HI",1,"Beyond"
"ITEM101CTWHISKERLICKINSCR","Cat Treats","CT WHISKER LICKINS CR 10OZ","NPP","ROM","CVS Total Corp WO HI",1,"Whisker Lickins"
"ITEM1029DDBENEFULPREMIUM","Dry Dog","DD BENEFUL PREMIUM 09.4-12.5LB","NPP","ROM","CVS Total Corp WO HI",1,"Beneful"
"ITEM1032DDDOGCHOWGREENBG","Dry Dog","DD DOG CHOW GREEN BG 42-46LB","NPP","ROM","CVS Total Corp WO HI",1,"Dog Chow Line"
"ITEM1032DTHONESTTODOGAOF","Dog Treats","DT HONEST TO DOG AOF","NPP","ROM","CVS Total Corp WO HI",1,"Honest To Dog"
"ITEM1035DDPUPPYCHOW","Dry Dog","DD PUPPY CHOW 08.8LB","NPP","ROM","CVS Total Corp WO HI",1,"Dog Chow Line"
"ITEM1036DDMOISTANDMEATY","Dry Dog","DD MOIST AND MEATY 216OZ","NPP","ROM","CVS Total Corp WO HI",2,"Moist & Meaty"
"ITEM1036DTMERRICKBACKCOUNTRYMT","Dog Treats","DT MERRICK BACKCOUNTRY MT 03.3-6OZ","NPP","ROM","CVS Total Corp WO HI",1,"Merrick"
"ITEM1037DTMERRICKBACKCOUNTRYCR","Dog Treats","DT MERRICK BACKCOUNTRY CR 10OZ+","NPP","ROM","CVS Total Corp WO HI",1,"Merrick"
"ITEM1038DTMERRICKFRSKSSDT","Dog Treats","DT MERRICK FRS KSS DT 09.5-11.5OZ","NPP","ROM","CVS Total Corp WO HI",1,"Merrick"
"ITEM1039DTMERRICKFRSKSSDT","Dog Treats","DT MERRICK FRS KSS DT 05.5-6.5OZ","NPP","ROM","CVS Total Corp WO HI",1,"Merrick"
"ITEM1040DTMERRICKFRSKSSDT","Dog Treats","DT MERRICK FRS KSS DT 23.0-27OZ","NPP","ROM","CVS Total Corp WO HI",1,"Merrick"
"ITEM1043DTMERRICKPOWERBITESMT","Dog Treats","DT MERRICK POWER BITES MT 06OZ","NPP","ROM","CVS Total Corp WO HI",1,"Merrick"
"ITEM1046DDPURINAONEMLTRGTD","Dry Dog","DD PURINA ONE ML TRGTD 40LB","NPP","ROM","CVS Total Corp WO HI",2,"Purina One"
"ITEM1048DDPROPLANSPORTPERFORM","Dry Dog","DD PRO PLAN SPORT PERFORM 37.5LB","NPP","ROM","CVS Total Corp WO HI",1,"Pro Plan"
"ITEM1050DDBEYONDGRFR","Dry Dog","DD BEYOND GR FR 13LB","NPP","ROM","CVS Total Corp WO HI",1,"Beyond"
"ITEM1051DDPURINAONETRUINST","Dry Dog","DD PURINA ONE TRU INST 03.8LB","NPP","Retailer","CVS Total Corp WO HI",1,"Purina One"
"ITEM1051DDPURINAONETRUINST","Dry Dog","DD PURINA ONE TRU INST 03.8LB","NPP","ROM","CVS Total Corp WO HI",2,"Purina One"
"ITEM1055DDALPO","Dry Dog","DD ALPO 37-41LB","NPP","ROM","CVS Total Corp WO HI",1,"Alpo"
"ITEM1056DDALPO","Dry Dog","DD ALPO 01LB","NPP","ROM","CVS Total Corp WO HI",1,"Alpo"
"ITEM1061DDBEYONDSMP","Dry Dog","DD BEYOND SMP9 14.5-15.5LB","NPP","ROM","CVS Total Corp WO HI",1,"Beyond"
"ITEM1062DDMOISTANDMEATY","Dry Dog","DD MOIST AND MEATY 012OZ","NPP","ROM","CVS Total Corp WO HI",1,"Moist & Meaty"
"ITEM1065DDPURINAONETRUINSTGF","Dry Dog","DD PURINA ONE TRU INST GF 03LB","NPP","ROM","CVS Total Corp WO HI",1,"Purina One"
"ITEM1066DDDOGCHOWGREENBG","Dry Dog","DD DOG CHOW GREEN BG 01LB","NPP","ROM","CVS Total Corp WO HI",1,"Dog Chow Line"
"ITEM1070DDPUPPYCHOW","Dry Dog","DD PUPPY CHOW 16.5LB","NPP","ROM","CVS Total Corp WO HI",2,"Dog Chow Line"
"ITEM1077DDPUPPYCHOW","Dry Dog","DD PUPPY CHOW 01LB","NPP","ROM","CVS Total Corp WO HI",1,"Dog Chow Line"
"ITEM1089DDBELLA","Dry Dog","DD BELLA 12LB","NPP","ROM","CVS Total Corp WO HI",1,"Bella"
"ITEM1093DDPURINAONEML","Dry Dog","DD PURINA ONE ML 04LB","NPP","Retailer","CVS Total Corp WO HI",2,"Purina One"
"ITEM1093DDPURINAONEML","Dry Dog","DD PURINA ONE ML 04LB","NPP","ROM","CVS Total Corp WO HI",1,"Purina One"
