"PPG_Item_No","PPG_Cat","PPG_Item","MFG","Market","Retailer","Model_flag","PPG_Brand"
"ITEM100DDDOGCHOWHIPROTEIN","Dry Dog","DD DOG CHOW HI PROTEIN 48LB","NPP","ROM","AssociateWhlseGrocersCorp",1,"Dog Chow Line"
"ITEM101CWKITKABOODLE","Wet Cat","CW KIT KABOODLE 05.35OZ","NPP","ROM","AssociateWhlseGrocersCorp",1,"Kit & Kaboodle"
"ITEM103CTWHISKERLICKINSAO","Cat Treats","CT WHISKER LICKINS AO","NPP","Retailer","AssociateWhlseGrocersCorp",0,"Whisker Lickins"
"ITEM103CTWHISKERLICKINSAO","Cat Treats","CT WHISKER LICKINS AO","NPP","ROM","AssociateWhlseGrocersCorp",2,"Whisker Lickins"
"ITEM104CTWHISKERLICKINSCR","Cat Treats","CT WHISKER LICKINS CR 01.7OZ","NPP","Retailer","AssociateWhlseGrocersCorp",2,"Whisker Lickins"
"ITEM104CTWHISKERLICKINSCR","Cat Treats","CT WHISKER LICKINS CR 01.7OZ","NPP","ROM","AssociateWhlseGrocersCorp",2,"Whisker Lickins"
"ITEM105CTWHISKERLICKINSCR","Cat Treats","CT WHISKER LICKINS CR 10OZ","NPP","Retailer","AssociateWhlseGrocersCorp",2,"Whisker Lickins"
"ITEM105CTWHISKERLICKINSCR","Cat Treats","CT WHISKER LICKINS CR 10OZ","NPP","ROM","AssociateWhlseGrocersCorp",2,"Whisker Lickins"
"ITEM106CTWHISKERLICKINSCR","Cat Treats","CT WHISKER LICKINS CR 04OZ","NPP","Retailer","AssociateWhlseGrocersCorp",0,"Whisker Lickins"
"ITEM106CTWHISKERLICKINSCR","Cat Treats","CT WHISKER LICKINS CR 04OZ","NPP","ROM","AssociateWhlseGrocersCorp",2,"Whisker Lickins"
"ITEM107CLTIDYCATSCLUMPNONLWBOX","Litter","CL TIDY CATS CLUMP NON-LW BOX 23LB - BOX","NPP","ROM","AssociateWhlseGrocersCorp",1,"Tidy Cats"
"ITEM108CLTIDYCATSCLUMPNONLW","Litter","CL TIDY CATS CLUMP NON-LW 14LB","NPP","Retailer","AssociateWhlseGrocersCorp",2,"Tidy Cats"
"ITEM108CLTIDYCATSCLUMPNONLW","Litter","CL TIDY CATS CLUMP NON-LW 14LB","NPP","ROM","AssociateWhlseGrocersCorp",1,"Tidy Cats"
"ITEM109CLTIDYCATSCLUMPNONLW","Litter","CL TIDY CATS CLUMP NON-LW 20LB","NPP","Retailer","AssociateWhlseGrocersCorp",2,"Tidy Cats"
"ITEM109CLTIDYCATSCLUMPNONLW","Litter","CL TIDY CATS CLUMP NON-LW 20LB","NPP","ROM","AssociateWhlseGrocersCorp",2,"Tidy Cats"
"ITEM10CWBEYOND","Wet Cat","CW BEYOND 03OZ 6CT","NPP","ROM","AssociateWhlseGrocersCorp",1,"Beyond"
"ITEM10DCBEYONDGRFR","Dry Cat","DC BEYOND GR FR 05LB","NPP","ROM","AssociateWhlseGrocersCorp",2,"Beyond"
"ITEM10DDALPO","Dry Dog","DD ALPO 17.6LB","NPP","ROM","AssociateWhlseGrocersCorp",1,"Alpo"
"ITEM10DTALPOVARIETYSNAPSCR","Dog Treats","DT ALPO VARIETY SNAPS CR 16OZ","NPP","Retailer","AssociateWhlseGrocersCorp",2,"Alpo"
"ITEM10DTALPOVARIETYSNAPSCR","Dog Treats","DT ALPO VARIETY SNAPS CR 16OZ","NPP","ROM","AssociateWhlseGrocersCorp",1,"Alpo"
"ITEM10DWBENEFUL","Wet Dog","DW BENEFUL 10OZ","NPP","Retailer","AssociateWhlseGrocersCorp",2,"Beneful"
"ITEM10DWBENEFUL","Wet Dog","DW BENEFUL 10OZ","NPP","ROM","AssociateWhlseGrocersCorp",2,"Beneful"
